C_TERRITOIRE_ID;C_LBLTERRITOIRE;C_DEPARTEMENT_ID;C_LBLDEPARTEMENT;C_REGION_ID;C_LBLREGION;TX_ACCESM6;TX_PRESEMPM6;TX_ACCESM6_D;TX_PRESEMPM6_D;DELTA_TX_ACCESM6;DELTA_TX_PRESEMPM6;TERRITOIRE_PROCHE1;TERRITOIRE_PROCHE2;TERRITOIRE_PROCHE3;TERRITOIRE_PROCHE4;TERRITOIRE_PROCHE5;TERRITOIRE_PROCHE6;TERRITOIRE_PROCHE7;TERRITOIRE_PROCHE8;TERRITOIRE_PROCHE9;TERRITOIRE_PROCHE10
CLPE12001;MILLAU;12;AVEYRON;76;OCCITANIE;0.3818804224;0.2525221423;0.330525635;0.2166444756;0.0513547874;0.0358776668;CLPE46003;CLPE23001;CLPE24002;CLPE43002;CLPE29002;CLPE36003;CLPE58001;CLPE31003;CLPE21004;CLPE04001
CLPE12002;RODEZ;12;AVEYRON;76;OCCITANIE;0.392143734;0.2695808822;0.3897022465;0.2618257198;0.0024414875;0.0077551625;CLPE39002;CLPE73002;CLPE71005;CLPE50003;CLPE35003;CLPE56001;CLPE40001;CLPE64002;CLPE29003;CLPE22001
CLPE12003;VILLEFRANCHE DE ROUERGUE;12;AVEYRON;76;OCCITANIE;0.3501458727;0.2341342028;0.3504128879;0.2310597933;-0.000267015;0.0030744095;CLPE19002;CLPE32002;CLPE46002;CLPE87003;CLPE86002;CLPE71003;CLPE07003;CLPE19003;CLPE43001;CLPE64001
CLPE13001;AIX-EN-PROVENCE;13;BOUCHES-DU-RHÔNE;93;PROVENCE-ALPES-CÔTE D'AZUR;0.3459428925;0.2367634598;0.3457020417;0.2290223715;0.0002408508;0.0077410883;CLPE34003;CLPE38002;CLPE06001;CLPE33003;CLPE69M06;CLPE06002;CLPE21003;CLPE63001;CLPE69M02;CLPE31004
CLPE13002;ARLES;13;BOUCHES-DU-RHÔNE;93;PROVENCE-ALPES-CÔTE D'AZUR;0.3698387053;0.2524741901;0.3685085852;0.2457803578;0.00133012;0.0066938323;CLPE84001;CLPE84003;CLPE84004;CLPE26002;CLPE22003;CLPE24001;CLPE17006;CLPE50003;CLPE04001;CLPE30002
CLPE13003;ISTRES;13;BOUCHES-DU-RHÔNE;93;PROVENCE-ALPES-CÔTE D'AZUR;0.3124018579;0.2110738633;0.3153496116;0.2109370987;-0.002947754;0.0001367646;CLPE60003;CLPE76004;CLPE76002;CLPE28002;CLPE60001;CLPE42001;CLPE27002;CLPE60004;CLPE16001;CLPE30001
CLPE13004;MARSEILLE;13;BOUCHES-DU-RHÔNE;93;PROVENCE-ALPES-CÔTE D'AZUR;0.2876707274;0.1866090271;0.313876407;0.2094118629;-0.02620568;-0.022802836;CLPE67005;CLPE59004;CLPE77005;CLPE84002;CLPE77001;CLPE95001;CLPE34003;CLPE60004;CLPE69M05;CLPE69M02
CLPE14001;BAYEUX;14;CALVADOS;28;NORMANDIE;0.3819450907;0.2651233132;0.384714576;0.2595535529;-0.002769485;0.0055697603;CLPE22001;CLPE50003;CLPE69D02;CLPE14003;CLPE83001;CLPE67004;CLPE56001;CLPE35003;CLPE22003;CLPE22002
CLPE14002;CAEN;14;CALVADOS;28;NORMANDIE;0.3500988667;0.2364313504;0.3375381165;0.222716669;0.0125607501;0.0137146813;CLPE37004;CLPE72001;CLPE49001;CLPE25001;CLPE63001;CLPE21003;CLPE76004;CLPE26001;CLPE16001;CLPE28002
CLPE14003;LISIEUX;14;CALVADOS;28;NORMANDIE;0.3583298285;0.2466330795;0.3955121189;0.2680989742;-0.03718229;-0.021465895;CLPE22001;CLPE50003;CLPE14001;CLPE56001;CLPE71005;CLPE35003;CLPE22002;CLPE44003;CLPE50001;CLPE22003
