q28_1;q28_2;q28_3;region;departement;clpe
PROVENCE ALPES COTE D'AZUR;06 ALPES MARITIMES;Grasse;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Grasse
PROVENCE ALPES COTE D'AZUR;06 ALPES MARITIMES;Nice;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Nice
OCCITANIE;34 HERAULT;Béziers;Occitanie;Hérault;Béziers
NOUVELLE-AQUITAINE;16 CHARENTE;Cognac- Rouillac;Nouvelle-Aquitaine;Charente;Cognac
PROVENCE ALPES COTE D'AZUR;13 BOUCHES DU RHONE;Arles;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Arles
GRAND EST;57 MOSELLE;Thionville - Hayange;Grand Est;Moselle;Thionville
NOUVELLE-AQUITAINE;19 CORREZE;Tulle;Nouvelle-Aquitaine;Corrèze;Tulle
AUVERGNE-RHONE-ALPES;07 ARDECHE;Annonay;Auvergne-Rhône-Alpes;Ardèche;Annonay
OCCITANIE;34 HERAULT;Montpellier;Occitanie;Hérault;Montpellier
OCCITANIE;09 ARIEGE;Pays des Pyrénées Cathares;Occitanie;Ariège;Pays des Pyrénées Cathares
BOURGOGNE-FRANCHE-COMTE;71 SAONE ET LOIRE;Autun - Creusot - Montceau;Bourgogne-Franche-Comté;Saône-et-Loire;Autun
AUVERGNE-RHONE-ALPES;38 ISERE;Bassin grenoblois;Auvergne-Rhône-Alpes;Isère;Grenoble centre
REUNION;974 NORD EST;CLPE Nord;La Réunion;La Réunion;La Réunion Nord
BOURGOGNE-FRANCHE-COMTE;71 SAONE ET LOIRE;Mâcon;Bourgogne-Franche-Comté;Saône-et-Loire;Mâcon
GRAND EST;68 HAUT RHIN;Altkirch;Grand Est;Haut-Rhin;Altkirch
CENTRE-VAL DE LOIRE;45 LOIRET;Orléans;Centre-Val de Loire;Loiret;Orléans
AUVERGNE-RHONE-ALPES;38 ISERE;Alpes Sud Isère et Vercors;Auvergne-Rhône-Alpes;Isère;Alpes Sud Isère et Vercors
GUADELOUPE;971 GUADELOUPE ET ILES DU NORD;Grande Terre;Guadeloupe;Guadeloupe;Grande-Terre
HAUTS-DE-FRANCE;62 PAS DE CALAIS;Artois ternois;Hauts-de-France;Pas-de-Calais;Arras
ILE DE FRANCE;77 SEINE-ET-MARNE;CLPE EST 77;Île-de-France;Seine-et-Marne;Est Seine-et-Marne
OCCITANIE;30 GARD;Centre Sud - Nimes;Occitanie;Gard;Gard Centre-Sud
GRAND EST;57 MOSELLE;Metz;Grand Est;Moselle;Metz
REUNION;974 NORD EST;CLPE Est;La Réunion;La Réunion;La Réunion Est
